公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN113603384A,一种超早强型无氟无碱液体速凝剂及其制备方法,2021-08-11,2021-11-05,石家庄市长安育才建材有限公司,赵明敏 | 田遥 | 滕文生 | 黄玉美 | 王玉乾 | 李茜茜 | 董树强 | 王龙飞 | 连彦丽 | 刘旭飞,实质审查
CN114035238A,基于双树复小波变换的超前地质预报方法,2021-10-18,2022-02-11,西南交通大学,杨丹 | 韩玫,实质审查
CN111119776A,一种适用于大口径水平工程地质勘探的绳索取心钻具,2020-03-03,2020-05-08,湖南科技大学,王佳亮 | 彭奋飞 | 万步炎,实质审查 | 一案双申
CN211623372U,一种适用于大口径水平工程地质勘探的绳索取心钻具,2020-03-03,2020-10-02,湖南科技大学,王佳亮 | 彭奋飞 | 万步炎,授权 | 一案双申
CN211872451U,一种减震挡土板,2019-12-29,2020-11-06,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 高柏松 | 赵海鑫 | 郭海强 | 王占盛 | 李炼,授权
CN113324510A,轨道线路竖曲线曲率检测方法、装置及轨道线路检测系统,2021-06-01,2021-08-31,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324521A,轨道线路坡度检测方法、装置及轨道线路检测系统,2021-06-01,2021-08-31,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324521B,轨道线路坡度检测方法、装置及轨道线路检测系统,2021-06-01,2022-03-11,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113324510B,轨道线路竖曲线曲率检测方法、装置及轨道线路检测系统,2021-06-01,2022-03-11,中国铁道科学研究院集团有限公司 | 中国铁道科学研究院集团有限公司基础设施检测研究所 | 北京铁科英迈技术有限公司,魏世斌 | 王琰 | 余宁 | 王昊 | 李颖 | 杜馨瑜,授权
CN113374526A,寒区隧道排水系统的正积温通风调控装置及方法,2021-06-16,2021-09-10,宁波大学,夏才初 | 林梓梁 | 杜时贵 | 徐晨 | 张瑶 | 曹善鹏,实质审查
CN215441859U,一种全强风化卵石土地基改良结构,2020-12-22,2022-01-07,中铁二院工程集团有限责任公司 | 西南交通大学,王栋 | 徐华 | 蒋良文 | 张广泽 | 冯涛 | 林之恒 | 刘春兰 | 周廷宇 | 张小波 | 王歆宇,授权
CN110280461A,一种长效波纹板隧道防岩爆装置耐腐蚀复合膜及实施方法,2019-06-11,2019-09-27,西安华捷奥海新材料有限公司 | 中铁第一勘察设计院集团有限公司,高建中 | 岳迎九 | 王飞 | 刘国庆,实质审查
CN111088740A,一种减震挡土板及设计方法,2019-12-29,2020-05-01,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 高柏松 | 赵海鑫 | 郭海强 | 王占盛 | 李炼,实质审查
CN114019584A,一种大高差地区高精度CORS网VRS解算方法,2021-10-11,2022-02-08,武汉大学,何林 | 姚宜斌 | 许超钤 | 张良 | 彭文杰 | 孔建,实质审查
CN113189302A,深埋隧道穿越活动断裂突水突泥动力灾害试验系统及方法,2021-04-20,2021-07-30,山东大学,薛翊国 | 孔凡猛 | 周炳桦 | 李志强 | 宋茜 | 公惠民,实质审查
CN114019585A,一种大高差地区高精度定位CORS网FKP解算方法,2021-10-11,2022-02-08,武汉大学,何林 | 姚宜斌 | 许超钤 | 张良 | 彭文杰 | 孔建,实质审查
